"dpt_cdc","prov_cdc","n","pob","y1","ylog","x1","sd","y_low","y_upp","id","y__cascade","y_se__cascade","y_ranef__cascade"
"ANCASH","HUARAZ",33,181637,0.000181681045161503,-8.61297165273427,59,0.174036926178685,-8.95408402804449,-8.27185927742405,"663",-8.61297165273427,0.174036926178685,"663"
"ANCASH","HUARAZ",33,181637,0.000181681045161503,-8.61297165273427,60,0.174036926178685,-8.95408402804449,-8.27185927742405,"664",-8.61297165273427,0.174036926178685,"664"
"ANCASH","HUARAZ",39,181637,0.000214713962463595,-8.44596160192087,61,0.160091567910971,-8.75974107502638,-8.13218212881537,"665",-8.44596160192087,0.160091567910971,"665"
"ANCASH","HUARAZ",27,181637,0.000148648127859412,-8.8135787471697,62,0.192402121085262,-9.19068690449681,-8.43647058984258,"666",-8.8135787471697,0.192402121085262,"666"
"ANCASH","HUARAZ",32,181637,0.000176175558944488,-8.64373436726221,63,0.176735030234198,-8.99013502652124,-8.29733370800319,"667",-8.64373436726221,0.176735030234198,"667"
"ANCASH","HUARAZ",32,181637,0.000176175558944488,-8.64373436726221,64,0.176735030234198,-8.99013502652124,-8.29733370800319,"668",-8.64373436726221,0.176735030234198,"668"
"ANCASH","HUARAZ",31,181637,0.000170670072727473,-8.67547354448467,65,0.179562609840067,-9.02741625977121,-8.32353082919814,"669",-8.67547354448467,0.179562609840067,"669"
"ANCASH","HUARAZ",25,181637,0.000137637155425381,-8.8905118051355,66,0.199948452890315,-9.28241077280052,-8.49861283747048,"670",-8.8905118051355,0.199948452890315,"670"
"ANCASH","HUARAZ",18,181637,9.90987519062746e-05,-9.21886897330899,67,0.235628745324121,-9.68070131414427,-8.75703663247371,"671",-9.21886897330899,0.235628745324121,"671"
"ANCASH","HUARAZ",11,181637,6.05603483871678e-05,-9.71101167773264,68,0.30137281196588,-10.3017023891858,-9.12032096627952,"672",-9.71101167773264,0.30137281196588,"672"
"ANCASH","HUARAZ",9,181637,4.95493759531373e-05,-9.91149169138968,69,0.333150249833709,-10.5644661810638,-9.25851720171561,"673",-9.91149169138968,0.333150249833709,"673"
"ANCASH","HUARAZ",7,181637,3.85384035191068e-05,-10.1625065502758,70,0.377702377393102,-10.9028032099663,-9.42220989058531,"674",-10.1625065502758,0.377702377393102,"674"
"ANCASH","HUARAZ",6,181637,3.30329173020915e-05,-10.3164326119353,71,0.407920502157385,-11.1159567961638,-9.51690842770684,"675",-10.3164326119353,0.407920502157385,"675"
"ANCASH","HUARAZ",7,181637,3.85384035191068e-05,-10.1625065502758,72,0.377702377393102,-10.9028032099663,-9.42220989058531,"676",-10.1625065502758,0.377702377393102,"676"
"ANCASH","HUARAZ",4,181637,2.2021944868061e-05,-10.7211119535385,73,0.49940504714139,-11.6999458459356,-9.74227806114138,"677",-10.7211119535385,0.49940504714139,"677"
"ANCASH","HUARAZ",6,181637,3.30329173020915e-05,-10.3164326119353,74,0.407920502157385,-11.1159567961638,-9.51690842770684,"678",-10.3164326119353,0.407920502157385,"678"
"ANCASH","HUARAZ",8,181637,4.4043889736122e-05,-10.0291436543933,75,0.353337016802255,-10.7216842073257,-9.33660310146083,"679",-10.0291436543933,0.353337016802255,"679"
"ANCASH","HUARAZ",3,181637,1.65164586510458e-05,-11.0080088764296,76,0.576438524590302,-12.1378283846266,-9.87818936823258,"680",-11.0080088764296,0.576438524590302,"680"
"ANCASH","HUARAZ",3,181637,1.65164586510458e-05,-11.0080088764296,77,0.576438524590302,-12.1378283846266,-9.87818936823258,"681",-11.0080088764296,0.576438524590302,"681"
"ANCASH","HUARAZ",5,181637,2.75274310850763e-05,-10.4984397880319,78,0.446785515624537,-11.374139398656,-9.62274017740783,"682",-10.4984397880319,0.446785515624537,"682"
"ANCASH","HUARAZ",4,181637,2.2021944868061e-05,-10.7211119535385,79,0.49940504714139,-11.6999458459356,-9.74227806114138,"683",-10.7211119535385,0.49940504714139,"683"
"ANCASH","HUARAZ",2,181637,1.10109724340305e-05,-11.4119055323792,80,0.705438629749915,-12.7945652466891,-10.0292458180694,"684",-11.4119055323792,0.705438629749915,"684"
"ANCASH","HUARAZ",1,181637,5.50548621701526e-06,-12.1003620629183,81,0.995306566997486,-14.0511629342333,-10.1495611916032,"685",-12.1003620629183,0.995306566997486,"685"
"ANCASH","HUARAZ",2,181637,1.10109724340305e-05,-11.4119055323792,83,0.705438629749915,-12.7945652466891,-10.0292458180694,"686",-11.4119055323792,0.705438629749915,"686"
"ANCASH","HUARAZ",2,181637,1.10109724340305e-05,-11.4119055323792,84,0.705438629749915,-12.7945652466891,-10.0292458180694,"687",-11.4119055323792,0.705438629749915,"687"
"ANCASH","HUARAZ",1,181637,5.50548621701526e-06,-12.1003620629183,85,0.995306566997486,-14.0511629342333,-10.1495611916032,"688",-12.1003620629183,0.995306566997486,"688"
"ANCASH","HUARAZ",2,181637,1.10109724340305e-05,-11.4119055323792,86,0.705438629749915,-12.7945652466891,-10.0292458180694,"689",-11.4119055323792,0.705438629749915,"689"
"ANCASH","HUARI",0,64695,0,-16.7717433995265,0,1,-18.7317433995265,-14.8117433995265,"690",-16.7717433995265,1,"690"
"ANCASH","HUARI",0,64695,0,-16.7717433995265,1,1,-18.7317433995265,-14.8117433995265,"691",-16.7717433995265,1,"691"
"ANCASH","HUARI",0,64695,0,-16.7717433995265,2,1,-18.7317433995265,-14.8117433995265,"692",-16.7717433995265,1,"692"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,12,0.998313954047536,-13.0307751191078,-9.11738441924144,"693",-11.0740797691746,0.998313954047536,"693"
"ANCASH","HUARI",4,64695,6.18285802612258e-05,-9.69030392085399,17,0.49977435136123,-10.669861649522,-8.71074619218598,"694",-9.69030392085399,0.49977435136123,"694"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,19,0.998313954047536,-13.0307751191078,-9.11738441924144,"695",-11.0740797691746,0.998313954047536,"695"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,22,0.998313954047536,-13.0307751191078,-9.11738441924144,"696",-11.0740797691746,0.998313954047536,"696"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,23,0.706501724343928,-11.7673542718971,-8.99786751246891,"697",-10.382610892183,0.706501724343928,"697"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,24,0.998313954047536,-13.0307751191078,-9.11738441924144,"698",-11.0740797691746,0.998313954047536,"698"
"ANCASH","HUARI",4,64695,6.18285802612258e-05,-9.69030392085399,25,0.49977435136123,-10.669861649522,-8.71074619218598,"699",-9.69030392085399,0.49977435136123,"699"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,26,0.998313954047536,-13.0307751191078,-9.11738441924144,"700",-11.0740797691746,0.998313954047536,"700"
"ANCASH","HUARI",4,64695,6.18285802612258e-05,-9.69030392085399,27,0.49977435136123,-10.669861649522,-8.71074619218598,"701",-9.69030392085399,0.49977435136123,"701"
"ANCASH","HUARI",4,64695,6.18285802612258e-05,-9.69030392085399,28,0.49977435136123,-10.669861649522,-8.71074619218598,"702",-9.69030392085399,0.49977435136123,"702"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,30,0.706501724343928,-11.7673542718971,-8.99786751246891,"703",-10.382610892183,0.706501724343928,"703"
"ANCASH","HUARI",3,64695,4.63714351959193e-05,-9.97770584511575,31,0.577013342640665,-11.1086519966915,-8.84675969354005,"704",-9.97770584511575,0.577013342640665,"704"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,34,0.706501724343928,-11.7673542718971,-8.99786751246891,"705",-10.382610892183,0.706501724343928,"705"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,36,0.998313954047536,-13.0307751191078,-9.11738441924144,"706",-11.0740797691746,0.998313954047536,"706"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,39,0.998313954047536,-13.0307751191078,-9.11738441924144,"707",-11.0740797691746,0.998313954047536,"707"
"ANCASH","HUARI",3,64695,4.63714351959193e-05,-9.97770584511575,42,0.577013342640665,-11.1086519966915,-8.84675969354005,"708",-9.97770584511575,0.577013342640665,"708"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,43,0.998313954047536,-13.0307751191078,-9.11738441924144,"709",-11.0740797691746,0.998313954047536,"709"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,45,0.998313954047536,-13.0307751191078,-9.11738441924144,"710",-11.0740797691746,0.998313954047536,"710"
