dpt_cdc,prov_cdc,n,pob,y1,ylog,x1,sd,y_low,y_upp,id
SAN MARTIN,RIOJA,1,131248,7.619163720590028e-6,-11.778040340824496,74,0.9966001562888134,-13.73137664715057,-9.824704034498422,1
SAN MARTIN,RIOJA,3,131248,2.2857491161770084e-5,-10.683958639332296,75,0.5766878732923632,-11.814266870985328,-9.553650407679264,1
SAN MARTIN,RIOJA,1,131248,7.619163720590028e-6,-11.778040340824496,76,0.9966001562888134,-13.73137664715057,-9.824704034498422,1
SAN MARTIN,RIOJA,1,131248,7.619163720590028e-6,-11.778040340824496,80,0.9966001562888134,-13.73137664715057,-9.824704034498422,1
SAN MARTIN,RIOJA,1,131248,7.619163720590028e-6,-11.778040340824496,81,0.9966001562888134,-13.73137664715057,-9.824704034498422,1
SAN MARTIN,RIOJA,3,131248,2.2857491161770084e-5,-10.683958639332296,82,0.5766878732923632,-11.814266870985328,-9.553650407679264,1
SAN MARTIN,SAN MARTIN,0,214538,0,-16.771743399526496,0,1,-18.731743399526497,-14.811743399526495,1
SAN MARTIN,SAN MARTIN,0,214538,0,-16.771743399526496,1,1,-18.731743399526497,-14.811743399526495,1
SAN MARTIN,SAN MARTIN,0,214538,0,-16.771743399526496,2,1,-18.731743399526497,-14.811743399526495,1
SAN MARTIN,SAN MARTIN,1,214538,4.661178905368746e-6,-12.265144875267689,7,0.9944643804336634,-14.214295060917669,-10.315994689617709,1
SAN MARTIN,SAN MARTIN,1,214538,4.661178905368746e-6,-12.265144875267689,10,0.9944643804336634,-14.214295060917669,-10.315994689617709,1
SAN MARTIN,SAN MARTIN,2,214538,9.322357810737492e-6,-11.577530942361365,11,0.7051390264691015,-12.959603434240805,-10.195458450481926,1
SAN MARTIN,SAN MARTIN,2,214538,9.322357810737492e-6,-11.577530942361365,12,0.7051390264691015,-12.959603434240805,-10.195458450481926,1
SAN MARTIN,SAN MARTIN,6,214538,2.7967073432212474e-5,-10.48262456834851,13,0.4078634652884858,-11.282036960313944,-9.683212176383078,1
SAN MARTIN,SAN MARTIN,5,214538,2.330589452684373e-5,-10.664574915044705,14,0.4467101626017861,-11.540126833744205,-9.789022996345205,1
SAN MARTIN,SAN MARTIN,12,214538,5.593414686442495e-5,-9.790406016342514,15,0.288532927928829,-10.355930555083019,-9.22488147760201,1
SAN MARTIN,SAN MARTIN,33,214538,1.5381890387716862e-4,-8.779396499416222,16,0.1740348398845453,-9.120504785589931,-8.438288213242513,1
SAN MARTIN,SAN MARTIN,68,214538,3.169601655650747e-4,-8.05657036192143,17,0.12123864183047381,-8.29419809990916,-7.818942623933702,1
SAN MARTIN,SAN MARTIN,112,214538,5.220520374012996e-4,-7.557643656810406,18,0.09446174221769786,-7.7427886715570935,-7.372498642063718,1
SAN MARTIN,SAN MARTIN,110,214538,5.127296795905621e-4,-7.575660350955294,19,0.0953169752303063,-7.762481622406694,-7.388839079503894,1
SAN MARTIN,SAN MARTIN,69,214538,3.2162134447044345e-4,-8.04197394043466,20,0.12035675705971148,-8.277873184271694,-7.8060746965976255,1
SAN MARTIN,SAN MARTIN,44,214538,2.0509187183622481e-4,-8.491798940487115,21,0.15072109679546572,-8.787212290206227,-8.196385590768003,1
SAN MARTIN,SAN MARTIN,25,214538,1.1652947263421865e-4,-9.056920069126823,22,0.19994372270678812,-9.448809765632127,-8.66503037262152,1
SAN MARTIN,SAN MARTIN,20,214538,9.322357810737492e-5,-9.27995208559099,23,0.22353401679281162,-9.7180787585049,-8.84182541267708,1
SAN MARTIN,SAN MARTIN,12,214538,5.593414686442495e-5,-9.790406016342514,24,0.288532927928829,-10.355930555083019,-9.22488147760201,1
