"prov_cdc","pop","HDI","life_exp","perc_secondary","education_years","household_per_capita_income"
"LUCANAS",61133.113490364,0.425449006035701,68.2715784674188,61.8904803993351,6.926992757643,591.812363331747
"PARINACOCHAS",32464.0877944326,0.41744346365726,59.8574101693581,66.4988874562135,7.39997678640656,637.712116055241
"PAUCAR DEL SARA SARA",10130.0449678801,0.435518521210977,71.8986208580141,54.403137293871,7.76519954185495,579.938761959924
"SUCRE",10033.5310492505,0.387487977919471,69.6052736101509,51.2704080781541,6.56388742162989,500.143230501762
"VICTOR FAJARDO",20070.8158458244,0.375382199657322,77.8908315860273,50.6607388210639,5.72956489802062,430.043556980317
"VILCAS HUAMAN",19738.2740899358,0.314307958949445,70.3819863468504,49.264415780583,4.76510026411035,350.506724848571
"CAJAMARCA",394885.445396146,0.535394003901843,74.3576462803946,66.1656310876615,7.98882852622377,891.363127317745
"CAJABAMBA",78820.3683083512,0.350381975931075,77.6865273802094,40.9987840980574,4.67969015653788,453.773965358046
"CELENDIN",87843.8072805139,0.322969234443926,71.896574510155,47.8227175442448,4.88058033243385,364.853648384168
"CHOTA",143476.265524625,0.360510072551923,72.2055586099082,53.3047491541612,4.93057635087941,463.229234725344
"CONTUMAZA",28919.1027837259,0.422103348701852,71.661594064657,46.7405919874817,6.25671146467925,657.378819401495
"CUTERVO",124257.7751606,0.354765665560503,76.3235328163821,47.5700443321507,4.89019814361015,434.908474234661
"HUALGAYOC",94959.7665952891,0.369343332788354,76.9722036469303,54.5959747290954,4.38253245338581,490.018233426607
"JAEN",187367.64882227,0.494398319418157,75.5060055229984,56.1583055293112,7.07986919213984,809.429169260716
"SAN IGNACIO",139858.989293362,0.359697614389447,75.5914669937916,47.5405379056677,5.35322724669787,429.461124399921
"SAN MARCOS",49248.7173447537,0.338971877022097,70.045564284885,43.4647469764008,4.68762339369651,465.142609565409
"SAN MIGUEL",47004.6338329764,0.370704804639486,74.7036782895596,51.4756782137602,5.15528368488564,469.653118599261
"SAN PABLO",19668.2077087794,0.312599948625524,66.5857020198605,43.1194895451432,4.82518588859006,393.444711642417
"SANTA CRUZ",39970.3576017131,0.390976160229843,71.3975638869178,51.3768885832591,5.99244324187291,524.159512360147
"CUSCO",484949.374732334,0.665288583510104,76.7029699148057,80.3458185014857,11.1111597730296,1195.49570999493
"ACOMAYO",23096.0706638116,0.297651102095443,60.6132865939465,61.1332900095734,5.03097932932135,328.641072829576
"ANTA",53884.9143468951,0.394515119323147,74.5892389466295,62.9284748727215,6.48583703036108,436.882101741159
"CALCA",70888.2719486081,0.389339846392094,73.1511054196201,58.7163522798819,6.11375543241651,464.22533736075
"CANAS",34076.539614561,0.256786798672869,62.2430366259242,62.9757449588382,5.21781298101526,207.712804744474
"CANCHIS",97607.130620985,0.468225536616414,75.8063724478906,69.1000339727015,7.45742860283051,604.522354523759
"CHUMBIVILCAS",75401.0578158458,0.33722823720575,68.7596447455726,58.0870992477489,5.00834850424487,392.791272296416
"ESPINAR",63483.3982869379,0.463360639814818,68.4218087030339,72.3251767053048,6.97489577821662,695.033989160759
"LA CONVENCION",160092.745711398,0.45051159283271,75.9727384839106,60.9056038512474,7.11999455562629,590.402809202408
"PARURO",25218.0535331906,0.248395089228038,63.7983314880683,51.0211495226499,4.38265784995617,226.787260943516
"PAUCARTAMBO",47431.7773019272,0.242395128877282,62.6226016082912,54.6564443463687,3.82613137283929,235.484452251125
"QUISPICANCHI",88405.3832976445,0.346616053888373,65.5341696614332,60.4243658768577,5.44572334871301,420.779530886624
