"prov_cdc","densidad_2020","altitud","ide","pob_ocup","pob2017","ocup_perc"
"HUAYLAS",26.7784087439702,2273,0.707131291660884,18463.374151763,55249,0.334184766272023
"MARISCAL LUZURIAGA",32.5303183771798,3326,0.636120512025277,3052.762046333,21817,0.13992583977325
"OCROS",3.59400237868944,3238,0.673682073687724,3231.265571828,7491,0.431353033216927
"PALLASCA",12.6241546537471,3156,0.722250764232484,6330.617047718,25027,0.252951494294882
"POMABAMBA",31.112083584049,2964,0.695982032658324,4811.898919155,26605,0.18086445852866
"RECUAY",9.25574713890782,3428,0.694831354650171,5631.289437763,18066,0.311706489414536
"SANTA",123.643856598671,52,0.75320035478408,182673.652003718,451184,0.404876174695286
"SIHUAS",22.1652918672775,2767,0.697734999823544,6452.756661188,28686,0.224944455873527
"YUNGAY",45.2683844052061,2517,0.695502301742128,18072.342546747,54900,0.329186567336011
"CALLAO",7867.5279281749,27,0.808428216023754,471156.345378749,1046953,0.450026262285651
"AMBO",39.4316839980193,2106,0.635862769329207,17005.089885263,53871,0.315663156155687
"DOS DE MAYO",28.5783375452124,3275,0.651118235293188,9529.592998185,35149,0.271119889561154
"HUACAYBAMBA",10.9656526682055,3176,0.668379934981564,2887.918661799,17188,0.168019470665522
"HUAMALIES",20.363173795516,3489,0.642229537596298,16508.356671114,54968,0.300326674994797
"HUANUCO",92.073983945829,1921,0.715929918080171,118770.109791937,306619,0.387354044569766
"LAURICOCHA",13.5421313739929,3499,0.582617277580872,6613.38289581,19956,0.331398220876428
"LEONCIO PRADO",30.1647416794628,667,0.655033815546715,54784.46561536,134002,0.40883319364905
"MARAÑON",6.64325614526187,2914,0.563820331913797,7522.251404849,28692,0.262172431508748
"PACHITEA",20.8050126750559,2536,0.561574631428522,15854.674605544,52641,0.301184905407268
"PUERTO INCA",4.2222727206796,215,0.466009848478183,13671.83822083,35833,0.381543220518237
"YAROWILCA",47.045238978927,3475,0.59524857286578,4897.532239501,21043,0.232739259587559
"CHANCHAMAYO",39.2051177869761,804,0.685092255218974,70963.5585918719,166080,0.427285396145664
"CHUPACA",58.5337504806516,3286,0.722347832430318,24977.836115706,55863,0.447126651194995
"CONCEPCION",21.773852647187,3303,0.718534101957442,22435.99997991,58833,0.381350602211514
"HUANCAYO",173.140145452503,3294,0.801218653857147,238809.872600875,561746,0.425120735351698
"JAUJA",25.2239204075645,3425,0.767767284549554,34003.459492867,88388,0.384706741784711
"JUNIN",10.1511271212676,4127,0.729149738596116,8534.838895192,23959,0.356226841487207
"SATIPO",10.7949850880461,676,0.580724481390792,83469.1369459085,225618,0.36995779124852
"TARMA",37.3735977534956,3094,0.751872388553982,41335.020494305,94953,0.435320848149137
"YAULI",11.7152058827595,3757,0.777554922411021,19199.426287711,41454,0.463150149266922
"BARRANCA",118.559920611756,74,0.807259586808981,64777.071365011,155387,0.416875744850026
"CAJATAMBO",5.06662442829707,3396,0.762130009906785,2590.89759766,7069,0.366515433252228
"CANTA",8.58441738487488,2867,0.773958457087596,6057.554323006,12608,0.480453229933852
"CAÑETE",56.358922907773,77,0.753108714631712,112760.158280536,252253,0.447012159540366
"HUARAL",56.4347771565343,195,0.762989182787519,85646.2127362882,197963,0.432637476378355
"HUAROCHIRI",20.4520027642618,2395,0.749701690587848,30020.591717522,62854,0.477624203988958
"HUAURA",50.054261352046,46,0.781724241988271,107603.23192092,243597,0.441726424877646
"OYON",9.70474410626459,3648,0.811443170175861,7930.300149587,18756,0.422814040818245
"YAUYOS",3.90661122166935,2895,0.80702793970973,11323.502936148,22200,0.510067699826486
"DANIEL ALCIDES CARRION",17.6601355043744,3203,0.647394802167753,14126.500809518,46287,0.305193700380625
"OXAPAMPA",6.46316376008533,1832,0.654613329186424,41622.6038362411,96169,0.432806869534269
"PASCO",27.217206189941,4373,0.755069992335804,49095.565621741,129680,0.378590111210217
"ATALAYA",1.83331110499511,256,0.489314119312462,20106.1696540708,57591,0.349119995382452
"CORONEL PORTILLO",12.9501760766459,162,0.663976632633741,161726.393270734,418055,0.38685434517165
"PADRE ABAD",9.2378451855576,275,0.627815139346148,28697.400528321,70006,0.409927728027898
"PURUS",0.279979112224727,228,0.449670015732,866.74870574,3346,0.259040258738793
"ABANCAY",34.5864530783579,2500,0.789197575029927,47059.456111374,114722,0.410204286112289
"ANDAHUAYLAS",41.866566340607,2836,0.753816169326858,50995.468849103,149267,0.341639269557926
"ANTABAMBA",4.03509153435373,3664,0.676755598618505,4723.985484683,11861,0.398278853779867
